Language Name,ISO,STATE,LgFly,Translation Status/Need,Strategic Zone,Orgs Involved,TR Org,Population,Pop. Source,"Pop in
2011",Location,#Of translations,OT Tr in progress,Decision Criteria,Translation Status,Status date,NT in Progress,Project location (State & District),"NT Start
Date","OT Start
Date","NT Pub
Date",NT Revised,"First BB 
Pub. Date",Bible revised,NT Script,Cluster,Translators/Facilitators name,Other information,No,"Literacy Rate
in L1","Literacy Rate
in L2","Source on
Literacy (L2)","Second
Language (L2)",GFA,TWR,FEBA,NT,Portions,Jesus Film,Jesus Film Audio,Jesus Film Children,Dayasagar,God Story,Radio Broadcast,,,,,,,,,,
Aariya,aay,Madhya Pradesh,,No Need,Central Zone,,,,,,"Madhya Pradesh [Chhatarpur, Datia, Panna, Rewa, Satna, Shahdol, Sidhi, Tikamgarh districts]",,,Extinct.,,,,,,,,,,,,Bagheli cluster,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Adi,adi,Arunachal Pradesh,Tibeto-Burman,Whole Bible Available,NEI Zone,"BSI, BAP, SGM, GR, GFA Radio",BSI,97012,Census 2001,,"Arunachal Pradesh [East Zone,West, Upper Siang districts, Upper Subansiri and Dibang Valley districts]; Assam [north hills of Assam Valley, between Bhutan and the Buruli River]",,,,,,,,,,1988,,2005,,,Arunachal,,,2,,59%,Census 2001,,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
"Adi, Galo",adl,Arunachal Pradesh,Tibeto-Burman,NT available,NEI Zone,"BSI, SGM",BSI,61887,Census 2001,,"Arunachal Pradesh [West Siang, East Zone Siang, Dibang Valley (south), Lohit (East Zone), Changlang (NorthEast Zone) and some in Upper Subansiri (West) districts]; Assam",,,,,,,,2002,,2008,,,,,Arunachal,,,3,,61%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Agariya,agi,Madhya Pradesh,Austro-Asiatic,No Need,Central Zone,,,84418,Census 2001,,"Madhya Pradesh [ Mandla, Rewa districts - Maikal hills]; Chhattisgarh [Bilaspur district]; Uttar Pradesh [Agra, Mathura, Mirzapur districts]",,,Shifting,,,,,,,,,,,,Madhya Pradesh cluster,,,4,,5%,,,,,,,,,,,,,,,,,,,,,,,
Ahirani,ahr,Maharashtra,Indo-Aryan,Translation in Progress,Central Zone,OA,TWFTW/LITE/OA/NIEA/T4G (storying),1865813,Census 2001,,"Maharashtra [Dhule, Jalgaon, Nandurbar, Nasik and Aurangabad districts]; Gujarat",1,,"High pop, bilingual in Marathi",Jonah completed and village checking is going on. Also started Gospel of Mark,,X,,2015,,,,,,,Maharashtra cluster,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Ahom,aho,Assam,Tai-Kadai,No Need,NEI Zone,,0,0,Ethnologue 09,,Assam,,,extinct, Ahom is a people group. Their traditional Ahom language (Tai kadai) is extinct,,,,,,,,,,,,Tai Kadai cluster,,,6,,,,,,,,,,,,,,,,,,,,,,,,
Aimol,aim,Manipur,Tibeto-Burman,Translation in Progress,NEI Zone,"BSI, SGM",BSI,3643,Census 2001,,"Manipur [Chandel district - Khullen, Unapal, Satu, Kumbirei, Chingunghut, Aimol Tampak, Khodamphai, Ngairong Aimol, Chandonpokpi, Soibong (Khudengthabi), Khomayai (Khunjai); Senapati district - Tuikhong; Churachandpur district - Luichungbum (Louchulbung);",1,,,The project has been going on for many years due to the problem in orthography and syntax. Drafting has been completed but checking of a few book are still on the process.,,X,,2001,,,,,,,"Naga, Manipur",,,7,,60 -70%,,,,,,,,,,,,,,,,,,,,,,,
Aiton,aio,Assam,Tai-Kadai,Research Need,NEI Zone,,,1500,Ethnologue 09,,"Assam [Jorhat, Karbi Anglong districts - Doboroni, Banlung, Ahomoni, Balipathar, Kaliyani, Chakihula, Tengani, Barhula villages]",,,Language vitality is high,,,,,,,,,,,,Tai Kadai cluster,,,8,1%,,,,,,,,,,,,,,,,,,,,,,,,
Aka Koro,jkr,Arunachal Pradesh,Tibeto-Burman,Limited Need,NEI Zone,,WIN,1200,Wikipedia,,Arunachal Pradesh [East Zone Kameng district],,,Active lg use,,,X,,2008,,,,,,, Mishmi,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Aka-Bea,abj,Andaman and Nicobar Islands,Great Andamanese,No Need,South Zone,,,0,Ethnologue 09,,"Andaman Islands, coasts of South Andaman Island except northEast Zone coast, and north and East Zone interiors; coastal Rutland Island except south coast; small islands southEast Zone of Rutland; and Labyrinth Islands",,,extinct,,,,,,,,,,,,Andaman,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
